DeviceName,Dew_Point,Indoor_Humidity,Indoor_Temperature,Outdoor_Humidity,Outdoor_Temperature,Discharge_Pressure,Discharge_Temperature,kW,Power_Factor,Volts_Line_to_Line,Volts_Line_to_Neutral
store0025-RackA,52.23,51.61,70.02,,96.22,269.4,,32.9,0.73,609.2,351.0
store0025-RackA,52.23,51.08,70.02,,96.22,267.4,,32.8,0.73,609.4,351.2
store0025-RackA,52.23,51.08,70.02,,96.1,268.2,,31.8,0.71,608.7,350.7
store0025-RackA,51.71,51.26,70.02,,96.1,268.2,,31.8,0.72,608.1,350.4
store0025-RackA,51.71,51.26,70.02,,96.26,268.2,,31.7,0.72,608.2,350.5
store0025-RackA,52.63,51.26,70.02,,96.04,268.2,,31.7,0.72,607.9,350.2
store0025-RackA,52.63,51.26,70.02,,96.4,268.3,,31.8,0.72,609.2,350.9
store0025-RackA,52.77,51.26,70.02,,96.4,268.3,,31.9,0.72,608.1,350.2
store0025-RackA,52.77,51.88,70.02,,96.53,268.3,,31.7,0.72,608.7,350.7
store0025-RackA,52.36,51.88,70.02,,96.66,268.8,,31.6,0.72,608.5,350.6
store0025-RackA,52.36,51.88,70.02,,96.69,268.8,,32.2,0.72,609.2,350.9
store0025-RackA,52.36,51.88,70.02,,96.69,271.6,,31.9,0.71,609.3,351.1
store0025-RackA,51.96,51.88,70.02,,96.62,271.6,,31.6,0.71,609.0,350.8
store0025-RackA,51.96,51.88,70.02,,96.48,272.4,,32.1,0.72,609.6,351.2
store0025-RackA,51.96,51.81,70.02,,96.48,269.3,,32.1,0.72,609.0,350.8
store0025-RackA,52.14,51.81,70.02,,96.48,269.3,,31.1,0.71,609.4,351.1
store0025-RackA,52.5,51.81,70.02,,96.48,269.3,,31.9,0.72,609.1,350.9
store0025-RackA,52.5,51.81,70.02,,96.48,269.3,,31.3,0.71,609.1,350.9
store0025-RackA,52.5,51.81,70.02,,96.48,278.2,,31.6,0.71,609.8,351.3
store0025-RackA,52.18,52.48,70.02,,96.84,279.4,,31.9,0.72,610.4,351.6
store0025-RackA,51.31,50.51,69.98,,96.84,274.9,,31.7,0.72,610.4,351.7
store0025-RackA,50.81,49.33,69.98,,96.84,274.1,,31.5,0.71,610.6,351.7
store0025-RackA,50.7,48.66,69.98,,96.84,277.9,,32.5,0.72,608.5,350.6
store0025-RackA,50.7,52.08,69.98,,96.84,288.3,,32.6,0.73,607.7,350.1
store0025-RackA,50.7,52.08,69.98,,96.87,290.0,,40.4,0.79,607.7,350.1
store0025-RackA,50.7,52.08,69.98,,96.87,290.0,,40.8,0.78,609.1,350.9
store0025-RackA,51.87,52.08,69.98,,96.96,290.0,,41.5,0.79,607.9,350.3
store0025-RackA,51.87,51.06,69.98,,96.96,293.2,,41.0,0.79,608.6,350.6
store0025-RackA,51.4,50.23,69.98,,96.75,293.3,,41.7,0.79,608.4,350.5
store0025-RackA,52.12,50.23,69.98,,96.91,298.9,,41.0,0.79,607.0,349.8
store0025-RackA,51.26,50.23,69.98,,96.78,274.3,,40.2,0.79,606.6,349.5
store0025-RackA,50.9,50.23,69.98,,96.78,267.9,,40.9,0.79,606.7,349.5
store0025-RackA,50.9,50.23,69.98,,96.35,267.9,,40.5,0.78,607.6,350.0
store0025-RackA,50.63,48.93,69.93,,96.35,265.5,,43.0,0.79,607.9,350.2
store0025-RackA,51.03,49.66,69.93,,96.44,283.5,,33.4,0.73,609.2,351.0
store0025-RackA,50.99,49.93,69.87,,97.34,283.5,,32.3,0.72,609.6,351.2
store0025-RackA,51.01,49.63,69.87,,97.3,272.2,,32.4,0.73,609.1,351.0
store0025-RackA,51.48,49.63,69.87,,97.48,272.6,,40.8,0.79,608.6,350.6
store0025-RackA,51.94,49.63,69.87,,97.48,270.1,,40.4,0.78,607.7,350.2
store0025-RackA,51.73,49.63,69.87,,97.48,270.4,,40.4,0.78,608.4,350.6
store0025-RackA,51.73,49.63,69.87,,97.43,270.4,,41.1,0.78,607.2,349.8
store0025-RackA,51.64,49.63,69.87,,97.43,270.2,,40.7,0.79,607.4,350.0
store0025-RackA,51.64,49.63,69.87,,97.43,273.2,,40.9,0.78,607.9,350.2
store0025-RackA,51.62,49.63,69.87,,97.18,273.2,,41.4,0.79,607.5,350.0
store0025-RackA,51.62,49.63,69.87,,97.52,270.7,,39.8,0.78,608.2,350.5
store0025-RackA,51.06,50.61,69.87,,97.52,276.0,,41.2,0.78,608.2,350.4
store0025-RackA,51.51,50.93,69.87,,97.27,276.0,,41.5,0.79,607.4,350.0
store0025-RackA,51.28,49.73,69.87,,97.39,291.8,,41.6,0.79,606.3,349.4
store0025-RackA,51.28,49.73,69.87,,97.39,297.4,,41.5,0.79,606.8,349.6
store0025-RackA,51.28,51.01,69.87,,97.39,297.4,,42.8,0.79,607.9,350.2
store0025-RackA,50.88,51.01,69.87,,97.65,292.7,,42.2,0.79,607.3,349.9
store0025-RackA,51.15,49.91,69.87,,97.0,292.2,,41.8,0.79,607.2,349.8
store0025-RackA,52.03,51.56,69.87,,97.0,298.8,,42.2,0.79,607.7,350.2
store0025-RackA,52.03,51.58,70.02,,97.0,292.4,,41.7,0.79,607.3,349.9
store0025-RackA,51.93,51.58,70.07,,97.0,294.6,,41.3,0.79,606.1,349.1
store0025-RackA,51.93,51.58,70.07,,97.0,294.6,,42.2,0.79,606.7,349.6
store0025-RackA,51.93,52.36,70.12,,97.0,298.6,,43.1,0.8,606.5,349.4
store0025-RackA,51.93,51.78,70.12,,97.0,298.6,,42.5,0.8,606.4,349.3
store0025-RackA,52.29,51.78,70.12,,96.31,301.1,,42.4,0.79,606.0,349.2
store0025-RackA,51.66,51.78,70.12,,96.31,271.3,,41.1,0.79,607.6,350.0
store0025-RackA,51.66,51.78,70.16,,96.31,271.3,,31.5,0.72,606.4,349.4
store0025-RackA,53.33,53.86,70.16,,96.31,265.1,,31.9,0.72,607.6,350.1
store0025-RackA,53.22,53.36,70.23,,96.31,261.6,,32.3,0.73,605.7,348.9
store0025-RackA,53.22,53.36,70.23,,96.31,261.6,,40.6,0.79,605.1,348.6
store0025-RackA,53.29,53.36,70.29,,95.97,269.0,,40.4,0.79,606.1,349.2
store0025-RackA,52.65,53.36,70.29,,95.88,274.6,,40.7,0.79,604.8,348.4
store0025-RackA,53.08,52.96,70.29,,95.88,274.6,,41.4,0.79,605.2,348.7
store0025-RackA,53.01,52.96,70.29,,95.88,274.0,,40.2,0.79,605.2,348.8
store0025-RackA,52.57,51.88,70.29,,95.83,268.3,,39.9,0.78,606.4,349.4
store0025-RackA,52.99,51.88,70.29,,95.76,268.7,,40.3,0.79,606.0,349.1
store0025-RackA,52.99,51.88,70.29,,95.76,268.7,,41.4,0.79,607.4,349.9
store0025-RackA,52.27,51.88,70.29,,95.76,268.5,,30.9,0.71,607.4,349.9
store0025-RackA,52.27,51.08,70.29,,95.54,263.2,,31.6,0.72,609.0,350.9
store0025-RackA,52.66,52.18,70.29,,95.32,263.2,,31.7,0.71,608.5,350.6
store0025-RackA,53.11,52.86,70.29,,95.02,263.2,,31.3,0.71,607.4,350.0
store0025-RackA,52.9,52.86,70.29,,94.75,265.7,,31.1,0.71,607.7,350.2
store0025-RackA,52.9,53.16,70.29,,94.41,260.1,,32.1,0.72,608.0,350.3
store0025-RackA,52.9,53.16,70.29,,94.41,260.1,,31.8,0.72,607.3,350.0
store0025-RackA,53.26,53.16,70.29,,94.19,259.6,,30.5,0.71,607.3,349.9
store0025-RackA,52.79,53.16,70.29,,94.03,257.9,,31.5,0.71,607.8,350.1
store0025-RackA,53.53,53.91,70.29,,93.76,261.5,,30.9,0.71,608.9,350.8
store0025-RackA,53.15,53.63,70.29,,93.81,255.8,,31.7,0.72,611.2,352.1
